,BIST100_Value_mean,BIST100_Volume_mean,GNP(TRY),Inflation(%),Deposit_Interest(TRY),Deposit_Interest(USD),Deposit_Interest(EUR),VIX,Google_Trends,Annualized_Volatility,Volatility_Level
2015-04-30,833.0248102678571,672823190.4761904,566138634.170434,1.63,9.485,1.79,1.4875,14.550000190734863,2,0.1158656700728923,0
2015-05-31,850.3814226973685,636832052.6315789,566138634.170434,0.56,9.624,1.682,1.3900000000000001,13.84000015258789,2,0.1449237639782579,0
2015-06-30,814.7555930397727,596486040.9090909,566138634.170434,-0.51,9.780000000000001,1.6749999999999998,1.2675,18.229999542236328,2,0.16703388742484956,1
2015-07-31,808.6093146306819,492207904.54545456,634505317.3421758,0.09,9.942,1.69,1.278,12.119999885559082,2,0.08648992316754167,0
2015-08-31,762.5442336309524,457386771.4285714,634505317.3421758,0.4,10.1075,1.6675,1.2925,28.43000030517578,2,0.14238439012583765,0
2015-09-30,734.62150390625,458045650.0,634505317.3421758,0.89,10.3375,1.6575,1.2850000000000001,24.5,2,0.11311281882165658,0
2015-10-31,786.0456175595239,613016733.3333334,649824781.164102,1.55,10.564,1.684,1.2719999999999998,15.069999694824219,2,0.1232133277914254,0
2015-11-30,803.1768601190475,639607309.5238096,649824781.164102,0.67,10.4525,1.61,1.2175,16.1299991607666,2,0.17479862552174028,1
2015-12-31,734.5194769021739,656305995.6521739,649824781.164102,0.21,10.7025,1.6725,1.1724999999999999,18.209999084472656,2,0.08114223429078721,0
2016-01-31,711.8261015625001,727025840.0,567941667.6194189,1.82,10.852,1.834,1.228,20.200000762939453,2,0.10745200461642468,0
2016-02-29,731.6544828869048,750079352.3809524,567941667.6194189,-0.02,11.0175,2.0,1.2425,20.549999237060547,2,0.08697485199585969,0
2016-03-31,799.7547010869565,743165243.4782609,567941667.6194189,-0.04,11.0125,2.005,1.25,13.949999809265137,2,0.09866071905864145,0
2016-04-30,845.6318080357142,731302742.8571428,635574636.724843,0.78,10.814,1.948,1.208,15.699999809265137,2,0.06760188755613908,0
2016-05-31,785.4501450892858,682456080.9523809,635574636.724843,0.58,10.495,1.8875,1.135,14.1899995803833,2,0.11902758341189193,0
2016-06-30,768.8906853693181,572455159.0909091,635574636.724843,0.47,10.25,1.8025,1.08,15.630000114440918,2,0.10014816881929042,0
2016-07-31,770.2406119791666,710894972.2222222,670483688.099925,1.16,9.952,1.83,1.028,11.869999885559082,3,0.14430151592556117,0
2016-08-31,772.1019140625001,617364795.4545455,670483688.099925,-0.29,9.9275,1.9649999999999999,1.0825,13.420000076293945,2,0.08016088974654004,0
2016-09-30,774.8143793402778,626327811.1111112,670483688.099925,0.18,9.882,2.004,1.068,13.289999961853027,2,0.07839599148116073,0
2016-10-31,782.270665922619,714183690.4761904,752559717.189124,1.44,9.7925,2.2125,1.1225,17.059999465942383,2,0.06009860985707861,0
2016-11-30,753.9028267045454,685778931.8181819,752559717.189124,0.52,9.6475,2.255,1.1425,13.329999923706055,3,0.10625897069358002,0
2016-12-31,764.64890625,567044581.8181819,752559717.189124,1.64,9.57,2.286,1.144,14.039999961853027,3,0.17874856374545475,1
2017-01-31,809.8507244318182,834709581.8181819,654453583.455393,2.46,9.4975,2.37,1.1125,11.989999771118164,3,0.16676401725046555,1
